"id","student_id","assignment_id","submission_date","submitted_on","total_marks","updated_at","created_at","created_by","updated_by","deleted_at"
"124","2","22","2014-05-10 00:00:00","2014-05-10 00:00:00",NULL,NULL,NULL,"0","0",NULL
"248","18","31","2014-11-22 00:00:00","2014-11-22 00:00:00",NULL,NULL,NULL,"0","0",NULL
"280","19","12","2014-12-27 00:00:00","2014-12-27 00:00:00",NULL,NULL,NULL,"0","0",NULL
"403","18","106","2016-07-09 00:00:00","2016-07-09 00:00:00",NULL,NULL,NULL,"0","0",NULL
"405","18","107","2016-07-16 00:00:00","2016-07-16 00:00:00",NULL,NULL,NULL,"0","0",NULL
"407","18","109","2016-09-17 00:00:00","2016-09-17 00:00:00",NULL,NULL,NULL,"0","0",NULL
"409","18","111","2016-09-17 00:00:00","2016-09-17 00:00:00",NULL,NULL,NULL,"0","0",NULL
"412","18","114","2016-09-17 00:00:00","2016-09-17 00:00:00",NULL,NULL,NULL,"0","0",NULL
"414","4","27","2016-09-17 00:00:00","2016-09-17 00:00:00",NULL,NULL,NULL,"0","0",NULL
"415","4","28","2016-09-17 00:00:00","2016-09-17 00:00:00",NULL,NULL,NULL,"0","0",NULL
"416","4","29","2016-09-17 00:00:00","2016-09-17 00:00:00",NULL,NULL,NULL,"0","0",NULL
"418","4","31","2016-09-17 00:00:00","2016-09-17 00:00:00",NULL,NULL,NULL,"0","0",NULL
"419","4","32","2016-09-24 00:00:00","2016-09-24 00:00:00",NULL,NULL,NULL,"0","0",NULL
"422","4","34","2016-09-24 00:00:00","2016-09-24 00:00:00",NULL,NULL,NULL,"0","0",NULL
"424","4","35","2016-09-24 00:00:00","2016-09-24 00:00:00",NULL,NULL,NULL,"0","0",NULL
"427","4","37","2016-09-24 00:00:00","2016-09-24 00:00:00",NULL,NULL,NULL,"0","0",NULL
"428","4","38","2016-09-24 00:00:00","2016-09-24 00:00:00",NULL,NULL,NULL,"0","0",NULL
"429","4","39","2016-09-24 00:00:00","2016-09-24 00:00:00",NULL,NULL,NULL,"0","0",NULL
"430","4","40","2016-09-24 00:00:00","2016-09-24 00:00:00",NULL,NULL,NULL,"0","0",NULL
"431","4","41","2016-09-28 00:00:00","2016-09-28 00:00:00",NULL,NULL,NULL,"0","0",NULL
"432","4","42","2016-09-29 00:00:00","2016-09-29 00:00:00",NULL,NULL,NULL,"0","0",NULL
"437","18","111","2016-09-17 00:00:00","2016-09-17 00:00:00",NULL,NULL,NULL,"0","0",NULL
"440","18","49","2016-10-01 00:00:00","2016-10-01 00:00:00",NULL,NULL,NULL,"0","0",NULL
"442","18","51","2016-10-01 00:00:00","2016-10-01 00:00:00",NULL,NULL,NULL,"0","0",NULL
"443","18","57","2016-10-01 00:00:00","2016-10-01 00:00:00",NULL,NULL,NULL,"0","0",NULL
"446","18","60","2016-10-08 00:00:00","2016-10-08 00:00:00",NULL,NULL,NULL,"0","0",NULL
"447","18","66","2016-10-08 00:00:00","2016-10-08 00:00:00",NULL,NULL,NULL,"0","0",NULL
"448","18","67","2016-10-08 00:00:00","2016-10-08 00:00:00",NULL,NULL,NULL,"0","0",NULL
"449","18","68","2016-10-08 00:00:00","2016-10-08 00:00:00",NULL,NULL,NULL,"0","0",NULL
"451","18","69","2016-10-08 00:00:00","2016-10-08 00:00:00",NULL,NULL,NULL,"0","0",NULL
"452","18","70","2016-10-08 00:00:00","2016-10-08 00:00:00",NULL,NULL,NULL,"0","0",NULL
"453","18","71","2016-10-08 00:00:00","2016-10-08 00:00:00",NULL,NULL,NULL,"0","0",NULL
"454","18","72","2016-10-08 00:00:00","2016-10-08 00:00:00",NULL,NULL,NULL,"0","0",NULL
"456","18","22","2016-10-01 00:00:00","2016-10-01 00:00:00",NULL,NULL,NULL,"0","0",NULL
"457","18","50","2016-10-01 00:00:00","2016-10-01 00:00:00",NULL,NULL,NULL,"0","0",NULL
"458","18","59","2016-10-01 00:00:00","2016-10-01 00:00:00",NULL,NULL,NULL,"0","0",NULL
"460","18","75","2016-10-29 00:00:00","2016-10-29 00:00:00",NULL,NULL,NULL,"0","0",NULL
"462","18","77","2016-10-29 00:00:00","2016-10-29 00:00:00",NULL,NULL,NULL,"0","0",NULL
"463","18","78","2016-10-29 00:00:00","2016-10-29 00:00:00",NULL,NULL,NULL,"0","0",NULL
"464","18","79","2016-10-29 00:00:00","2016-10-29 00:00:00",NULL,NULL,NULL,"0","0",NULL
"465","18","80","2016-10-29 00:00:00","2016-10-29 00:00:00",NULL,NULL,NULL,"0","0",NULL
"466","18","82","2016-10-29 00:00:00","2016-10-29 00:00:00",NULL,NULL,NULL,"0","0",NULL
"467","18","83","2016-10-29 00:00:00","2016-10-29 00:00:00",NULL,NULL,NULL,"0","0",NULL
"468","18","84","2016-10-29 00:00:00","2016-10-29 00:00:00",NULL,NULL,NULL,"0","0",NULL
"469","18","85","2016-10-29 00:00:00","2016-10-29 00:00:00",NULL,NULL,NULL,"0","0",NULL
"470","18","90","2016-10-29 00:00:00","2016-10-29 00:00:00",NULL,NULL,NULL,"0","0",NULL
"471","18","91","2016-10-29 00:00:00","2016-10-29 00:00:00",NULL,NULL,NULL,"0","0",NULL
"472","18","92","2016-10-29 00:00:00","2016-10-29 00:00:00",NULL,NULL,NULL,"0","0",NULL
"473","8","1","2016-11-11 00:00:00","2016-11-11 00:00:00",NULL,NULL,NULL,"0","0",NULL
"474","35","1","2016-01-09 00:00:00","2016-01-09 00:00:00",NULL,NULL,NULL,"0","0",NULL
"475","35","2","2016-01-09 00:00:00","2016-01-09 00:00:00",NULL,NULL,NULL,"0","0",NULL
"476","18","174","2016-12-03 00:00:00","2016-12-03 00:00:00",NULL,NULL,NULL,"0","0",NULL
"477","18","175","2016-12-03 00:00:00","2016-12-03 00:00:00",NULL,NULL,NULL,"0","0",NULL
"478","18","176","2016-12-10 00:00:00","2016-12-10 00:00:00",NULL,NULL,NULL,"0","0",NULL
"479","18","177","2016-12-10 00:00:00","2016-12-10 00:00:00",NULL,NULL,NULL,"0","0",NULL
"480","18","178","2016-12-10 00:00:00","2016-12-10 00:00:00",NULL,NULL,NULL,"0","0",NULL
"481","18","179","2016-12-10 00:00:00","2016-12-10 00:00:00",NULL,NULL,NULL,"0","0",NULL
"482","18","180","2016-12-10 00:00:00","2016-12-10 00:00:00",NULL,NULL,NULL,"0","0",NULL
"483","18","181","2016-12-10 00:00:00","2016-12-10 00:00:00",NULL,NULL,NULL,"0","0",NULL
"484","18","182","2016-12-10 00:00:00","2016-12-10 00:00:00",NULL,NULL,NULL,"0","0",NULL
"485","18","183","2016-12-10 00:00:00","2016-12-10 00:00:00",NULL,NULL,NULL,"0","0",NULL
"486","18","184","2016-12-10 00:00:00","2016-12-10 00:00:00",NULL,NULL,NULL,"0","0",NULL
"487","18","185","2016-12-10 00:00:00","2016-12-10 00:00:00",NULL,NULL,NULL,"0","0",NULL
"488","18","186","2016-12-10 00:00:00","2016-12-10 00:00:00",NULL,NULL,NULL,"0","0",NULL
"489","18","187","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL,NULL,"0","0",NULL
