"id","branches_id","subject_name","subject_code","no_of_exams","class_hours","fees","status","updated_at","created_at","created_by","updated_by"
"1","4","OLD TESTAMENT","OT101","4","4.00",NULL,"1","2019-08-07 16:08:29","2018-10-10 18:48:33","0","1"
"2","3","NEW TESTAMENT","NT201","4","4.00",NULL,"1","2019-08-07 15:16:22","2018-10-10 18:48:44","0","1"
"3","7","HERMENEUTICS","HM001","3","3.00",NULL,"1","2019-08-14 15:26:45","2018-10-10 18:47:37","0","1"
"5","5","PNEUMATOLOGY - Knowing Holy Spirit","PN901","1","3.00",NULL,"1","2019-11-21 09:40:31","2018-10-10 18:49:08","0","1"
"6","5","THEOLOGY PROPER","THP101","0","0.00",NULL,"1","2019-08-07 16:15:09",NULL,"0","1"
"7","5","CHRISTOLOGY","CRT001","2","4.00",NULL,"1","2019-08-07 16:00:07","2018-11-13 21:15:35","0","1"
"9","10","COMMUNICATION","CM101","0","0.00",NULL,"1","2019-08-14 16:55:58",NULL,"0","1"
"11","1","Introduction to EVANGELISM","IE 001","1","3.00",NULL,"1","2018-10-16 09:30:42","2018-10-15 21:00:42","0","0"
"12","5","PASTORAL THEOLOGY","PST101","0","0.00",NULL,"1","2019-08-07 16:17:40",NULL,"0","1"
"14","8","CHRISTIAN ETHICS","CE001","3","4.00",NULL,"1","2019-08-14 15:25:50","2018-10-25 20:42:06","0","1"
"15","4","OT SURVEY","OT102","0","0.00",NULL,"1","2019-08-07 16:17:07",NULL,"0","1"
"17","5","ANTHROPOLOGY","ANT001","4","4.00",NULL,"1","2019-08-07 15:20:25","2018-11-13 21:24:39","0","1"
"21","5","GREAT THEMES OF THE SCRIPTURE","GTS101","0","0.00",NULL,"1","2019-08-07 16:21:55",NULL,"0","1"
"22","8","HELPING PEOPLE IN CRISIS","HPC101","0","0.00",NULL,"1","2019-08-14 16:57:48",NULL,"0","1"
"23","1","CHURCH PLANTING","601","2","0.00",NULL,"1","2017-08-06 12:32:51",NULL,"0","0"
"26","3","PASTORAL EPISTLES","PTH101","0","0.00",NULL,"1","2019-08-07 16:23:30",NULL,"0","1"
"32","5","ESCHATOLOGY","ESH101","0","0.00",NULL,"1","2019-08-07 16:15:53",NULL,"0","1"
"33","5","SYSTEMATIC THEOLOGY","SYT101","0","0.00",NULL,"1","2019-08-07 16:24:00",NULL,"0","1"
