"id","code","upload_name","description","format","video_id","youtube_id","aws_url","subject_id","media_id","status","updated_at","created_at","created_by","updated_by"
"1","1","Sample Video",NULL,"File","3102",NULL,NULL,"5",NULL,"1","2017-01-17 06:00:33","2017-01-16 17:30:33","0","0"
"2","2","Sample Video 2",NULL,"File","3101",NULL,NULL,"5",NULL,"1","2017-01-17 05:46:58","2017-01-16 17:16:58","0","0"
"3","3","Old Testament Survey",NULL,"Url",NULL,NULL,NULL,"1",NULL,"1","2017-03-21 04:08:41","2017-03-20 15:38:41","0","0"
"5","5","New Testament Study",NULL,"Url",NULL,NULL,NULL,"2",NULL,"1","2017-03-21 04:43:09","2017-03-20 16:13:09","0","0"
"6","6","New Testament Survey",NULL,"Url",NULL,NULL,NULL,"2",NULL,"1","2017-03-21 04:44:23","2017-03-20 16:14:23","0","0"
"8","8","Introduction to Biblical Theology",NULL,"Url",NULL,NULL,NULL,"6",NULL,"1","2017-05-03 17:08:47","2017-05-03 17:08:47","1","1"
"9","9","Theology of Creation",NULL,"Url",NULL,NULL,NULL,"6",NULL,"1","2017-05-03 17:17:12","2017-05-03 17:17:12","1","1"
"10","10","Christian Apologetic Introduction",NULL,"Url",NULL,NULL,NULL,"48",NULL,"1","2018-03-08 09:36:45","2018-03-07 21:06:45","1","1"
"11","11","Basic Apologetic Course- Lecture 1",NULL,"Url",NULL,NULL,NULL,"48",NULL,"1","2018-03-08 09:40:14","2018-03-07 21:10:14","1","1"
"12","12","Basic Apostolic Course  -Lecture 2",NULL,"Url",NULL,NULL,NULL,"48",NULL,"1","2018-03-08 09:39:39","2018-03-07 21:09:39","1","1"
"13","13","Basic Apologetic Course- Lecture 3",NULL,"Url",NULL,NULL,NULL,"48",NULL,"1","2018-03-08 09:40:47","2018-03-07 21:10:47","1","1"
"14","14","Basic Apologetic Course- Lecture 4",NULL,"Url",NULL,NULL,NULL,"48",NULL,"1","2018-03-08 09:41:26","2018-03-07 21:11:26","1","1"
"15","15","Auido",NULL,"File",NULL,NULL,NULL,"1",NULL,"1","2018-04-13 06:35:51","2018-04-12 18:05:51","1","1"
"16","16","audio",NULL,"File",NULL,NULL,NULL,"1",NULL,"1","2018-04-13 19:57:39","2018-04-13 07:27:39","1","1"
"17","17","hhhhhhhh",NULL,"File",NULL,NULL,NULL,"1",NULL,"1","2018-04-13 19:58:46","2018-04-13 07:28:46","1","1"
"18","18","mmmmmmmmmmmmm",NULL,"File","3603",NULL,NULL,"1",NULL,"1","2018-04-13 20:53:06","2018-04-13 08:23:06","1","1"
"19","19","llllllllllll",NULL,"File","3604",NULL,NULL,"1",NULL,"1","2018-04-14 06:27:33","2018-04-13 17:57:33","1","1"
"20","20","test",NULL,"File","3824",NULL,NULL,"1",NULL,"1","2018-10-26 05:25:35","2018-10-25 16:55:35","1","1"
"21","21","Building Theology",NULL,"File",NULL,NULL,"https://mytts-references.s3.us-east-2.amazonaws.com/Introduction to Bible - Intro Video.mp4","51",NULL,"1","2021-01-20 06:11:27","2018-10-28 03:50:36","1","1"
"22","22","Epistle to Hebrews Part 1",NULL,"File","3977",NULL,NULL,"37",NULL,"1","2019-01-18 13:03:22","2019-01-18 00:33:22","1","1"
"23","23","Epistle to Hebrews Part 2",NULL,"File","3978",NULL,NULL,"37",NULL,"1","2019-01-18 13:04:08","2019-01-18 00:34:08","1","1"
"24","building-theology-of-trinity-1","Building Theology of Trinity 1",NULL,"File","4138",NULL,NULL,"69",NULL,"1","2020-09-18 08:47:31","2020-09-17 20:17:31","1","1"
"25","introduction-to-biblical-theology-1","Introduction to Biblical Theology 1",NULL,"Url",NULL,NULL,"https://mytts-references.s3.us-east-2.amazonaws.com/Introduction to Bible - Intro Video.mp4","51",NULL,"1","2021-01-19 22:33:40","2020-09-29 23:59:44","1","1"
"26","biblical-scholarship-process-series","Biblical Scholarship: Process Series",NULL,"Url",NULL,"12",NULL,"74",NULL,"1","2020-11-28 18:58:08","2020-11-28 06:28:08","1","1"
"27","test-aws-upload","Test AWS upload",NULL,,NULL,NULL,"https://mytts-references.s3.us-east-2.amazonaws.com/references/1608053564file_example_MP4_480_1_5MG.mp4","74",NULL,"1","2020-12-16 06:02:47","2020-12-15 17:32:47","1","1"
"28","test-aws-upload-2","Test AWS upload 2",NULL,,NULL,NULL,"https://mytts-references.s3.us-east-2.amazonaws.com/references/Introduction to Bible 1 (Class 1).mp4","74",NULL,"1","2021-01-10 14:37:41","2020-12-22 17:25:10","1","1"
"30","introduction-to-bible-genesis-episode-2","Introduction to Bible - Genesis- Episode 2",NULL,,NULL,NULL,"https://mytts-references.s3.us-east-2.amazonaws.com/Introduction to Bible - Genesis.mp4","77","4200","1","2021-04-08 13:01:11","2021-01-20 00:40:31","1","1"
"31","introduction-to-bible-exodus-episode-3","Introduction to Bible - Exodus- Episode 3",NULL,,NULL,NULL,"https://mytts-references.s3.us-east-2.amazonaws.com/Introduction to Bible (Exodus).mp4","78","4202","1","2021-04-17 15:14:32","2021-01-20 01:16:17","1","1"
"32","introduction-to-bible-leviticus-numbers-episode-4","Introduction to Bible - Leviticus & Numbers - Episode 4",NULL,,NULL,NULL,"https://mytts-references.s3.us-east-2.amazonaws.com/Introduction to Bible  (Leviticus and Numbers).mp4","79","4202","1","2021-04-17 15:14:57","2021-01-20 01:29:12","1","1"
"33","introduction-to-bible-deuteronomy-joshua-judges-ruth","Introduction to Bible - Deuteronomy, Joshua, Judges & Ruth",NULL,,NULL,NULL,"https://mytts-references.s3.us-east-2.amazonaws.com/Introduction to Bible  (Deutronomy, Joshua Judges & Ruth).mp4","80","4202","1","2021-04-17 15:15:23","2021-01-20 01:44:39","1","1"
"34","introduction-to-bible-12-kings-2-chronicles","Introduction to Bible - 1&2 Kings, !&2 Chronicles",NULL,,NULL,NULL,"https://mytts-references.s3.us-east-2.amazonaws.com/Introduction to Bible - 1 & 2 kings, 1 & 2 Chronicles..mp4","82","4202","1","2021-04-17 15:13:31","2021-01-22 22:51:10","1","1"
